Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2019-08-02,56.54600000000001,,,,
2019-08-09,53.275999999999996,,,,
2019-08-16,55.306,,,,
2019-08-23,55.496,,,,
2019-08-30,55.205999999999996,,,,
2019-09-06,55.48,,,,
2019-09-13,56.160000000000004,,,,
2019-09-20,59.331999999999994,,,,
2019-09-27,56.896,,,,
2019-10-04,53.122,,,,
2019-10-11,53.272000000000006,,,,
2019-10-18,53.488,,,,
2019-10-25,55.20399999999999,,,,
2019-11-01,55.17,,,,
2019-11-08,56.69,,,,
2019-11-15,56.900999999999996,,,,
2019-11-22,56.9,,,,
2019-11-29,58.08,,,,
2019-12-06,57.64,,,,
2019-12-13,59.248000000000005,,,,
2019-12-20,60.75,,,,
2019-12-27,61.29,,,,
2020-01-03,61.7425,,,,
2020-01-10,60.839999999999996,,,,
2020-01-17,58.288,,,,
2020-01-24,56.602,,,,
2020-01-31,52.696000000000005,,,,
2020-02-07,50.36,,,,
2020-02-14,50.832,,,,
2020-02-21,52.92100000000001,,,,
2020-02-28,48.362,,,,
2020-03-06,45.574,,,,
2020-03-13,32.386,,,,
2020-03-20,24.194,,,,
2020-03-27,19.438,,,,
2020-04-03,21.686,,,,
2020-04-10,24.405,,,,
2020-04-17,20.119999999999997,,,,
2020-04-24,3.3240000000000007,,,,
2020-05-01,15.712,,,,
2020-05-08,23.464,,,,
2020-05-15,26.398000000000003,,,,
2020-05-22,33.096,,,,
2020-05-29,34.185,,,,
2020-06-05,37.322,34.928725126203496,23.25243517892782,,
2020-06-12,37.872,36.04228166895761,31.636994265105983,38.46564641972188,38.997250359468765
2020-06-19,38.35,37.079374517563856,40.879936490871906,38.84337684316398,39.31857182042596
2020-06-26,39.22,38.07821817907805,43.11982697561041,39.139858535363985,39.442492178429035
2020-07-03,39.986000000000004,39.04051892061214,46.14148912464771,39.71008752650613,40.133217090518755
2020-07-10,40.442,39.967884653814075,44.12578583420436,40.520337307295,40.77627499255124
2020-07-17,40.57,40.8618319878839,34.345792098187644,41.005968494034704,41.518674203086164
2020-07-24,41.338,41.72379271022403,42.35699855309549,41.088023036822435,41.57099190678049
2020-07-31,40.686,42.55511974374945,45.36136781419957,41.740668723118475,42.4590504866081
2020-08-07,41.568,43.35709262559601,46.03051492453199,41.21395345300681,42.12766879984798
2020-08-14,42.076,44.13092254805573,52.592429937946484,41.87863415955605,42.494383485081094
2020-08-21,42.726,44.87775699900245,54.22078010091556,42.47823038304916,43.01115031598681
2020-08-28,42.932,45.59868403582027,53.91534348332438,43.213357991886426,43.88778320255284
2020-09-04,41.842,46.294736223882126,64.73959545748096,43.41665372337202,43.89117265713143
